epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_sec
1,1.2073,0.3320,1.1095,0.2651,6.44e-05,49.8
2,1.1256,0.3353,1.1041,0.4663,1.00e-04,52.9
3,1.1105,0.3355,1.1048,0.4663,9.99e-05,54.2
4,1.1083,0.3346,1.0979,0.4692,9.98e-05,53.8
5,1.1047,0.3438,1.0999,0.2687,9.97e-05,53.9
6,1.1036,0.3523,1.1015,0.4698,9.95e-05,53.8
7,1.1005,0.3563,1.0870,0.4475,9.92e-05,53.8
8,1.0727,0.4321,1.0703,0.4910,9.89e-05,53.8
9,1.0487,0.4692,1.0693,0.4936,9.86e-05,53.8
10,1.0382,0.4785,1.0897,0.5062,9.82e-05,53.8
11,1.0363,0.4811,1.0702,0.5058,9.77e-05,53.8
12,1.0210,0.4976,1.0509,0.4785,9.72e-05,53.8
13,1.0148,0.5028,1.0756,0.5069,9.67e-05,53.8
14,1.0072,0.5135,1.0669,0.5065,9.61e-05,53.9
15,1.0057,0.5104,1.0489,0.4972,9.55e-05,53.9
16,1.0024,0.5164,1.0406,0.4923,9.48e-05,53.8
17,1.0037,0.5125,1.0438,0.5027,9.40e-05,53.9
18,0.9987,0.5180,1.0853,0.5167,9.33e-05,53.8
19,0.9991,0.5144,1.0316,0.4801,9.24e-05,53.8
20,0.9963,0.5189,1.0459,0.5064,9.16e-05,53.8
21,0.9977,0.5196,1.0437,0.5071,9.07e-05,53.9
22,0.9967,0.5209,1.0370,0.4772,8.97e-05,53.8
23,0.9949,0.5173,1.0335,0.5079,8.87e-05,53.8
24,0.9931,0.5229,1.0295,0.5035,8.77e-05,53.8
25,0.9929,0.5203,1.0493,0.5190,8.66e-05,53.9
26,0.9921,0.5226,1.0561,0.4993,8.55e-05,53.8
27,0.9898,0.5251,1.0434,0.5063,8.44e-05,53.8
28,0.9904,0.5241,1.0719,0.5200,8.32e-05,53.9
29,0.9885,0.5248,1.0393,0.5063,8.20e-05,53.8
30,0.9889,0.5260,1.0252,0.5112,8.08e-05,53.9
31,0.9868,0.5297,1.0486,0.5246,7.95e-05,53.8
32,0.9863,0.5302,1.0294,0.5126,7.82e-05,53.9
33,0.9853,0.5301,1.0443,0.5113,7.69e-05,53.9
34,0.9834,0.5301,1.0581,0.5271,7.55e-05,53.9
35,0.9840,0.5264,1.0721,0.5208,7.41e-05,53.9
36,0.9840,0.5283,1.0673,0.5275,7.27e-05,53.9
37,0.9844,0.5277,1.0362,0.5281,7.13e-05,53.9
38,0.9824,0.5342,1.0405,0.5233,6.98e-05,53.9
39,0.9819,0.5323,1.0323,0.5241,6.84e-05,53.9
40,0.9799,0.5345,1.0309,0.5162,6.69e-05,53.8
